timestamp,scenario_id,zone_id,zone_temperature,outdoor_temp,solar_irradiance,ground_temp,internal_load,humidity,it_load,cooling_power,fan_power,chiller_power,hvac_power,pue,control_action,reward,alarm_flag,comfort_violation
2026-01-01 04:00:00+00:00,bear_officesmall_tucson_14d_random,zone_4,25.259475172250177,2.2,0.0,20.9,0.055348710693399035,,,,,,,,-100.06380462646484,-40.47446117257685,,False
2026-01-01 04:00:00+00:00,bear_officesmall_tucson_14d_random,zone_5,19.361853984650512,2.2,0.0,20.9,0.055348710693399035,,,,,,,,-428.85516357421875,-40.47446117257685,,True
2026-01-01 05:00:00+00:00,bear_officesmall_tucson_14d_random,zone_0,10.03806133469256,1.2,0.0,20.9,-0.10580789260624424,,,,,,,,-3207.268798828125,-29.23687945689663,,True
2026-01-01 05:00:00+00:00,bear_officesmall_tucson_14d_random,zone_1,2.7092049328800165,1.2,0.0,20.9,-0.10580789260624424,,,,,,,,3225.520751953125,-29.23687945689663,,True
2026-01-01 05:00:00+00:00,bear_officesmall_tucson_14d_random,zone_2,-1.2242582909072848,1.2,0.0,20.9,-0.10580789260624424,,,,,,,,4556.4638671875,-29.23687945689663,,True
2026-01-01 05:00:00+00:00,bear_officesmall_tucson_14d_random,zone_3,5.834519803316477,1.2,0.0,20.9,-0.10580789260624424,,,,,,,,6379.6806640625,-29.23687945689663,,True
2026-01-01 05:00:00+00:00,bear_officesmall_tucson_14d_random,zone_4,8.462731109333241,1.2,0.0,20.9,-0.10580789260624424,,,,,,,,-4383.06591796875,-29.23687945689663,,True
2026-01-01 05:00:00+00:00,bear_officesmall_tucson_14d_random,zone_5,10.184226478381827,1.2,0.0,20.9,-0.10580789260624424,,,,,,,,-967.4384155273438,-29.23687945689663,,True
2026-01-01 06:00:00+00:00,bear_officesmall_tucson_14d_random,zone_0,9.106185001307887,0.8,0.0,20.9,0.07647016921877794,,,,,,,,4804.5302734375,-35.176812559931214,,True
2026-01-01 06:00:00+00:00,bear_officesmall_tucson_14d_random,zone_1,11.788708829640457,0.8,0.0,20.9,0.07647016921877794,,,,,,,,-6315.009765625,-35.176812559931214,,True
2026-01-01 06:00:00+00:00,bear_officesmall_tucson_14d_random,zone_2,16.672779805061662,0.8,0.0,20.9,0.07647016921877794,,,,,,,,-4488.236328125,-35.176812559931214,,True
2026-01-01 06:00:00+00:00,bear_officesmall_tucson_14d_random,zone_3,15.075806022795863,0.8,0.0,20.9,0.07647016921877794,,,,,,,,3460.429443359375,-35.176812559931214,,True
2026-01-01 06:00:00+00:00,bear_officesmall_tucson_14d_random,zone_4,3.624165787879247,0.8,0.0,20.9,0.07647016921877794,,,,,,,,3657.615966796875,-35.176812559931214,,True
